,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Nauru","","All types","3.46","","","","","","","","","","","","","","","","","","",""
"Nauru","Data source","All types","3.46","","","","","","","","","","","","","","","","","","",""
"Nepal","Data source","All types","0.09","0.08","0.08","0.07","0.07","0.06","0.06","0.05","0.05","0.03","0.03","0.02","0.02","0.01","0.01","0.02","0.01","0.01","0.01","0.01"
"Netherlands","Data source","All types","10.06","9.93","10.05","9.80","9.80","9.68","9.67","10.03","10.03","9.91","10.03","10.17","10.20","10.62","10.55","10.76","11.22","11.04","11.25","11.33"
"New Zealand","Data source","All types","8.30","8.13","8.29","9.94","10.15","10.33","10.43","10.52","11.19","11.31","11.52","11.28","12.27","12.22","11.96","12.08","11.99","12.67","12.98","13.32"
"Nicaragua","Data source","All types","2.81","2.79","2.42","2.22","2.45","2.56","2.75","2.81","2.95","2.74","2.49","2.60","3.45","3.48","3.35","3.10","3.20","3.03","3.52","3.02"
"Niger","Data source","All types","0.08","0.09","0.07","0.06","0.08","0.01","0.08","0.07","0.09","0.10","0.11","0.13","0.15","0.17","0.14","0.21","0.21","0.31","0.25","0.25"
"Nigeria","Data source","All types","10.34","10.31","9.88","9.35","8.77","8.91","8.97","9.17","9.37","9.21","6.74","6.76","7.32","7.26","7.27","7.35","7.46","8.51","8.31","8.22"
"Niue","Data source","All types","7.44","5.40","6.06","10.15","9.92","7.50","5.90","7.54","6.34","7.23","","","","","","","","","",""
"Norway","Data source","All types","5.45","5.24","5.28","5.04","4.79","4.74","4.55","4.67","4.90","4.99","5.08","5.26","5.38","5.27","5.22","4.98","4.85","4.83","5.32","5.98"
"Oman","Data source","All types","0.21","0.27","0.30","0.30","0.27","0.29","0.30","0.30","0.31","0.25","1.03","1.08","1.17","0.14","0.12","0.14","0.16","0.23","0.27","0.29"
"Pakistan","Data source","All types","0.02","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.01"
"Panama","Data source","All types","6.23","6.28","5.90","5.67","5.55","5.46","5.22","5.50","5.77","5.72","4.61","4.24","5.06","5.08","4.87","4.99","4.74","5.09","5.06","4.98"
"Papua New Guinea","Data source","All types","0.87","0.89","0.88","0.63","1.01","1.08","1.10","1.11","1.11","1.11","1.12","1.26","1.29","1.23","1.31","1.25","1.29","1.51","1.43","1.61"
"Paraguay","Data source","All types","8.29","9.61","10.49","11.05","11.55","9.99","9.85","9.12","9.11","7.55","6.51","6.83","7.35","7.48","6.85","7.03","6.51","6.80","6.29","7.00"
"Peru","Data source","All types","4.05","4.32","4.62","4.72","5.23","5.28","5.03","5.62","5.26","5.04","4.99","5.54","6.69","5.95","5.10","5.73","6.07","5.78","5.93","6.01"
"Philippines","Data source","All types","3.80","3.82","3.83","3.85","3.87","3.67","3.82","4.08","4.03","4.16","3.78","3.85","4.42","4.11","4.58","4.30","4.41","3.57","3.26","3.09"
"Poland","Data source","All types","8.22","8.32","8.51","7.91","8.01","8.31","8.39","8.27","8.63","8.16","9.33","9.52","9.41","9.18","8.50","8.31","8.25","8.54","11.21","10.66"
"Portugal","Data source","All types","13.18","12.48","12.58","12.84","13.59","14.05","14.17","14.36","14.78","15.21","14.64","12.92","12.35","13.49","13.93","16.37","15.88","16.99","15.38","14.91"
"Qatar","Data source","All types","0.48","0.56","0.90","0.90","0.92","0.86","0.80","1.07","1.03","1.13","1.45","1.42","1.42","2.11","2.06","2.23","3.06","4.05","4.06","1.64"
"Republic of Korea","Data source","All types","9.16","8.65","8.69","8.77","7.94","8.14","7.82","8.13","8.24","8.37","9.61","10.13","10.18","10.25","10.18","10.67","10.71","13.70","14.22","14.77"
"Republic of Moldova","Data source","All types","14.37","16.87","16.40","16.44","15.82","16.31","11.60","10.06","","","","","","","","","","","",""
"North Macedonia","Data source","All types","5.03","6.24","5.53","5.68","6.63","7.54","5.09","7.00","","","","","","","","","","","",""
"Romania","Data source","All types","7.66","7.28","8.74","8.05","8.20","7.84","9.01","8.81","8.91","8.92","8.67","10.40","10.29","10.31","10.09","10.14","10.21","10.28","10.48","10.91"
"Russian Federation","Data source","All types","10.70","9.87","9.25","9.21","11.22","8.66","8.36","7.07","8.05","7.37","5.35","5.19","4.59","5.29","7.61","8.98","8.46","7.68","7.66","7.91"
"Rwanda","Data source","All types","9.60","9.97","9.36","9.86","9.80","7.86","10.16","14.06","12.07","10.21","7.55","6.44","6.49","6.87","7.51","7.09","7.74","7.96","8.05","7.33"
"Saint Kitts and Nevis","Data source","All types","6.55","6.25","5.61","5.86","6.32","4.37","4.62","4.03","4.16","5.03","4.65","4.26","3.17","3.98","3.51","3.97","3.89","4.66","4.44","4.44"
"Saint Lucia","Data source","All types","11.91","10.85","10.49","10.85","11.80","11.34","13.21","12.85","12.18","11.72","11.62","12.27","10.03","9.66","8.90","9.07","8.52","8.79","9.91","8.35"
"Saint Vincent and the Grenadines","Data source","All types","6.73","6.19","5.98","5.74","6.12","5.97","5.97","6.47","6.11","6.18","","","","","","","","","",""
"Samoa","Data source","All types","1.78","1.74","1.41","3.21","2.38","2.80","3.40","2.00","2.19","2.27","2.63","2.63","3.14","1.63","1.74","1.70","2.05","1.19","0.60","0.89"
"Sao Tome and Principe","Data source","All types","5.73","6.47","4.89","5.35","4.57","4.37","5.30","2.80","3.71","2.80","2.58","1.74","1.90","0.65","0.76","0.94","0.50","0.69","1.34","1.40"
"Saudi Arabia","Data source","All types","0.01","0.07","0.06","0.06","0.06","0.05","0.03","0.06","0.21","0.16","0.15","0.21","0.22","0.20","0.27","0.40","0.32","0.33","0.20","0.23"
"Senegal","Data source","All types","0.41","0.38","0.34","0.38","0.37","0.39","0.36","0.39","0.42","0.57","0.61","0.56","0.46","0.44","0.45","0.58","0.67","0.61","0.61","0.67"
"Seychelles","Data source","All types","4.75","4.77","4.56","4.57","4.79","4.53","4.74","4.47","4.20","3.97","3.30","3.26","3.28","3.21","3.19","3.12","3.30","3.27","3.39","3.63"
"Sierra Leone","Data source","All types","6.88","6.80","6.68","6.72","4.15","4.17","4.17","4.18","4.21","4.26","4.38","4.38","4.52","4.61","4.79","4.57","4.83","4.52","4.40","4.53"
"Singapore","Data source","All types","2.08","2.09","2.10","1.99","2.01","1.88","1.76","1.79","1.70","1.61","1.61","1.75","1.74","1.63","1.79","2.32","2.35","2.29","2.33","2.49"
"Slovakia","Data source","All types","12.13","12.13","13.09","12.86","12.55","13.02","12.04","12.63","13.24","","12.70","12.77","13.24","13.30","13.82","14.33","14.85","15.20","15.02","14.93"
"Slovenia","Data source","All types","12.28","14.61","11.44","12.60","13.94","14.80","15.66","15.70","13.18","13.79","12.96","14.96","16.64","18.13","15.07","17.23","17.28","19.50","16.94",""
"Solomon Islands","Data source","All types","0.21","0.24","0.42","0.35","0.30","0.36","0.36","0.91","0.64","0.66","0.58","0.71","0.69","0.90","1.13","1.10","0.92","0.78","0.87","0.85"
"Somalia","Data source","All types","0","0","0","0","0","0","0.01","0","0","0.01","0","0","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02"
"South Africa","Data source","All types","10.81","10.60","10.77","10.76","8.96","9.22","8.82","9.13","9.02","9.23","9.21","9.22","8.97","8.85","8.40","8.77","8.47","8.57","8.78","8.60"
"Spain","Data source","All types","11.33","11.58","11.69","10.86","11.09","11.36","11.67","12.19","12.88","12.98","13.28","13.52","14.41","14.37","14.47","14.49","16.18","16.23","16.84","17.69"
"Sri Lanka","Data source","All types","1.53","1.50","1.53","1.36","1.91","1.64","1.49","1.60","1.48","1.25","0.14","0.17","0.18","0.20","0.26","0.28","0.23","0.32","0.38","0.30"
"Sudan","Data source","All types","1.93","1.89","2.00","2.00","2.01","1.98","2.07","1.91","1.92","1.95","0.15","0.19","0.25","0.25","0.25","0.26","0.24","0.19","1.57","1.53"
"Suriname","Data source","All types","6.14","7.12","7.21","4.75","4.99","5.21","4.55","4.78","4.38","4.27","3.67","4.11","3.48","5.25","6.24","6.97","7.22","8.36","8.21","9.30"
"Sweden","Data source","All types","6.88","6.80","7.11","6.90","7.33","7.71","7.51","7.50","7.47","7.41","7.47","7.31","7.07","7.21","6.90","6.82","6.96","7.29","7.14","7.65"
"Switzerland","Data source","All types","11.05","11.07","11.21","11.33","11.45","11.79","12.33","12.33","12.90","12.99","13.86","14.03","14.02","14.07","14.37","14.33","14.41","14.71","14.58","14.25"
"Syrian Arab Republic","Data source","All types","0.52","0.93","0.76","0.82","0.66","0.77","0.76","0.91","0.76","0.59","0.55","0.84","0.77","1.03","1.01","0.85","0.79","0.96","0.82","0.93"
"Tajikistan","Data source","All types","0.33","0.45","0.80","1.82","1.75","1.28","1.17","2.40","","","","","","","","","","","",""
"Thailand","Data source","All types","5.16","5.88","5.90","6.10","5.75","5.07","5.07","5.00","5.14","5.02","4.00","3.45","2.60","2.46","2.46","6.04","6.05","5.26","5.47","5.51"
"Timor-Leste","Data source","All types","0.50","0.49","0.44","0.41","0.40","0.39","0.38","0.37","0.38","0.37","","","","","","","","","",""
"Togo","Data source","All types","0.97","1.26","1.40","1.35","1.59","1.30","1.27","1.34","1.58","1.91","2.22","2.54","2.65","2.80","2.84","2.61","3.61","6.79","5.40","4.42"
"Tonga","Data source","All types","1.33","0.96","0.77","0.91","0.95","0.90","0.84","0.67","0.57","0.76","","","","","","","","","",""
"Trinidad and Tobago","Data source","All types","3.81","3.59","3.31","2.40","4.27","5.52","5.18","5.65","6.24","5.97","4.67","3.53","4.35","5.21","4.94","5.89","5.40","5.57","5.85","6.82"
"Tunisia","Data source","All types","1.14","1.06","1.06","1.05","1.06","1.05","0.94","0.78","0.79","0.95","0.96","0.97","0.98","1.15","1.16","1.16","1.19","1.03","1.04","1.05"
"Turkey","Data source","All types","1.46","1.54","1.64","1.38","1.49","1.45","1.40","1.31","1.21","1.02","0.72","0.71","0.89","0.85","0.98","1.00","1.26","1.26","1.54","1.15"
"Turkmenistan","Data source","All types","1.63","1.62","1.73","1.71","2.00","1.67","0.55","0.42","","","","","","","","","","","",""
"Tuvalu","Data source","All types","1.52","0.98","0.82","0.74","2.19","1.62","1.35","1.21","1.64","1.27","","","","","","","","","",""
"Uganda","Data source","All types","7.60","7.98","7.72","7.84","8.29","7.96","7.78","7.73","8.02","8.03","7.80","7.77","7.52","7.47","7.02","7.84","7.52","8.14","7.61","8.02"
"Ukraine","Data source","All types","3.93","3.74","3.98","3.26","3.72","4.21","5.47","5.54","5.86","5.67","5.32","4.43","4.01","4.39","6.62","7.08","6.99","6.96","7.48","7.67"
"United Arab Emirates","Data source","All types","2.83","2.54","2.90","2.68","3.32","3.53","3.68","3.95","3.92","4.05","4.43","4.86","5.37","6.74","8.35","12.43","12.35","13.80","13.77","13.77"
"United Kingdom of Great Britain and Northern Ireland","Data source","All types","10.16","10.14","9.97","9.75","9.70","9.41","9.45","9.65","10.01","9.96","9.99","9.94","9.53","10.26","10.24","10.16","10.10","9.91","10.27","10.71"
"United Republic of Tanzania","Data source","All types","5.02","5.67","5.25","4.61","5.53","5.65","5.57","5.77","5.71","4.98","5.89","4.81","6.89","7.29","8.25","6.56","7.01","8.60","6.78","8.06"
"United States of America","Data source","All types","8.21","8.10","8.10","8.18","8.14","8.25","8.40","8.71","8.71","9.24","9.16","9.39","9.61","9.73","9.88","10.18","10.18","10.30","10.45","10.45"
"Uruguay","Data source","All types","7.94","7.81","7.82","7.96","8.15","7.90","7.49","7.24","7.27","7.56","7.44","7.60","7.64","7.23","7.24","7.67","7.92","8.45","8.93","8.76"
"Uzbekistan","Data source","All types","1.71","1.73","1.67","1.64","1.90","1.84","1.10","1.32","","","","","","","","","","","",""
"Vanuatu","Data source","All types","1.15","1.34","1.43","1.23","1.47","1.72","1.39","1.46","1.58","1.53","1.76","1.67","1.44","1.74","2.16","2.26","2.20","2.10","2.20","2.55"
"Venezuela (Bolivarian Republic of)","Data source","All types","7.30","7.77","7.85","8.41","8.24","8.41","9.25","9.47","9.29","8.85","7.88","9.72","9.16","8.34","7.95","9.01","8.72","8.98","9.67","10.20"
"Viet Nam","Data source","All types","0.60","0.61","0.62","0.63","0.31","0.32","0.16","0.16","0.16","0.16","0.16","0.16","0.16","0.17","0.17","0.17","0.17","0.17","0.17","0.17"
"Yemen","Data source","All types","0.08","0.11","0.09","0.15","0.17","0.18","0.20","0.22","0.14","0.21","0.20","0.19","0.17","0.22","0.28","0.22","0.19","0.30","0.28","0.33"
"Zambia","Data source","All types","3.10","2.97","3.01","3.18","3.30","3.13","3.11","2.71","2.77","2.91","3.37","3.49","3.22","3.07","3.11","2.83","2.95","3.35","3.81","4.29"
"Zimbabwe","Data source","All types","4.63","4.82","5.19","4.22","4.34","4.68","3.54","2.83","3.39","4.50","4.92","5.10","5.03","7.23","6.60","7.27","7.14","7.00","6.22","5.77"
