,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Cambodia","Data source","All types","1.91","1.95","1.78","1.57","1.02","1.29","0.25","0.25","0.22","0.40","0.33","0.17","0.22","0.22","0.25","0.30","0.51","0.42","",""
"Cameroon","Data source","All types","2.30","2.97","2.47","2.47","3.05","3.11","3.08","3.24","3.91","5.90","6.36","6.31","6.50","6.50","6.21","5.97","6.27","6.51","6.07","6.33"
"Canada","Data source","All types","7.50","7.30","7.20","7.40","7.30","7.50","7.50","8.02","8.28","8.77","9.14","9.39","9.28","9.41","9.55","9.68","10.06","10.32","10.33","10.32"
"Central African Republic","Data source","All types","1.54","1.68","1.58","1.74","1.93","2.04","2.28","2.06","2.12","","2.52","2.51","2.78","2.94","2.80","2.50","2.48","2.85","2.60","2.83"
"Chad","Data source","All types","0.22","0.26","0.34","0.50","0.19","0.32","0.30","0.40","0.46","0.39","0.29","0.29","0.29","0.32","0.39","0.34","0.28","0.32","0.33","0.30"
"Chile","Data source","All types","7.61","7.25","6.57","7.43","8.34","7.73","7.67","7.82","7.99","8.61","8.65","9.52","9.49","8.93","9.72","10.04","9.98","12.64","9.74","10.22"
"China","Data source","All types","3.61","3.88","4.60","4.48","4.70","3.98","3.80","3.54","3.40","3.34","3.16","3.50","3.30","2.92","2.53","2.36","2.28","2.06","1.89","1.70"
"Colombia","Data source","All types","6.29","6.55","6.45","6.69","6.96","6.83","6.66","6.18","7.29","7.01","6.96","7.18","6.81","6.61","6.33","6.18","6.33","6.16","6.29","6.21"
"Comoros","Data source","All types","0.08","0.07","0.10","0.06","0.11","0.10","0.12","0.12","0.14","0.19","0.11","0.08","0.08","0.16","0.38","0.50","0.06","0.16","0.19","0.06"
"Congo","Data source","All types","2.08","1.88","1.73","2.11","2.02","2.06","2.87","2.83","2.79","2.45","3.03","3.82","4.15","5.09","5.45","5.92","5.52","4.74","4.42","3.84"
"Cook Islands","Data source","All types","1.04","1.64","3.31","2.21","2.08","2.61","2.29","3.73","3.23","6.05","","","","","","","","","",""
"Costa Rica","Data source","All types","5.42","5.59","5.62","5.58","5.91","6.07","5.64","5.57","6.10","6.09","5.40","5.51","4.23","4.86","5.04","4.87","4.51","4.65","4.62","4.63"
"Côte d'Ivoire","Data source","All types","4.54","4.42","4.47","4.46","4.59","3.97","4.27","4.17","4.35","4.24","2.20","2.30","2.49","2.80","3.12","2.77","3.07","3.76","4.15","4.89"
"Croatia","Data source","All types","12.15","13.84","13.21","11.10","10.91","11.61","11.26","11.47","13.69","15.90","10.92","11.07","13.51","","","","","","",""
"Cuba","Data source","All types","3.96","3.71","3.39","3.45","3.59","3.84","2.91","3.75","3.54","3.98","4.37","4.45","4.37","4.04","3.96","3.75","3.66","3.59","2.96","3.01"
"Cyprus","Data source","All types","8.93","8.68","8.33","8.49","9.47","9.53","9.41","10.38","9.16","9.46","9.29","9.61","8.88","8.33","7.93","7.61","7.46","6.99","6.71","6.28"
"Czechia","Data source","All types","13.85","13.92","14.05","13.78","13.74","13.83","13.72","14.39","13.74","","13.01","12.84","13.20","13.01","14.24","14.29","14.14","14.12","14.23","13.99"
"Democratic People's Republic of Korea","Data source","All types","5.93","5.99","5.57","5.67","3.87","3.70","3.83","3.73","3.74","3.71","3.68","3.66","3.59","3.51","3.47","3.33","3.01","2.76","2.80","2.64"
"Democratic Republic of the Congo","Data source","All types","1.89","1.89","1.89","1.87","1.99","1.84","1.96","1.93","2.11","2.29","1.92","2.12","2.36","2.34","2.69","2.27","2.16","2.08","2.17","2.10"
"Denmark","Data source","All types","11.62","11.69","12.20","12.27","12.16","12.14","11.89","11.94","11.76","11.85","11.65","11.90","11.74","12.26","12.20","12.40","12.81","12.47","12.09","11.50"
"Djibouti","Data source","All types","0.93","1.34","1.48","0.47","0.42","0.57","0.69","0.60","0.76","0.78","0.87","0.97","1.60","2.27","2.96","2.48","2.69","2.04","1.91","1.76"
"Dominica","Data source","All types","7.48","7.51","8.42","7.42","10.41","8.45","10.33","10.28","11.61","9.35","","","","","","","","","",""
"Dominican Republic","Data source","All types","6.29","6.01","5.80","5.67","5.52","5.86","5.63","6.04","4.94","5.34","4.53","4.32","4.38","3.73","3.52","3.63","3.38","3.69","3.79","3.82"
"Ecuador","Data source","All types","1.58","1.80","1.52","1.67","2.30","2.14","2.39","2.44","2.43","2.10","2.54","3.35","2.54","2.50","2.32","2.33","2.79","2.95","3.14","3.39"
"Egypt","Data source","All types","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.09","0.10","0.42","0.41","0.39","0.39","0.37","0.37","0.35","0.36","0.31","0.35"
"El Salvador","Data source","All types","3.18","2.79","2.83","2.57","2.77","2.64","2.46","2.17","2.32","2.20","1.77","1.84","2.26","2.41","2.57","2.56","2.54","2.79","3.08","2.88"
"Equatorial Guinea","Data source","All types","1.15","2.68","2.74","2.80","3.57","1.68","5.84","4.09","3.99","3.17","6.49","5.97","2.40","1.84","0.25","0.08","0.06","","",""
"Eritrea","Data source","All types","1.41","1.73","1.57","1.64","2.16","1.53","1.29","0.70","0.22","0.22","0.29","0.42","0.39","0.30","0.54","0.55","0.57","0.58","0.59","0.61"
"Estonia","Data source","All types","8.85","8.01","8.30","7.97","8.27","8.18","8.10","7.84","9.13","9.84","","","","","","","","","",""
"Eswatini","Data source","All types","7.88","7.47","8.26","5.68","6.33","5.69","6.57","4.87","5.57","5.14","6.68","4.40","3.47","6.47","9.69","7.66","6.03","6.80","5.79","8.77"
"Ethiopia","Data source","All types","0.90","0.80","0.85","0.78","0.70","0.65","0.68","0.65","0.78","0.92","0.86","0.66","0.63","0.62","0.63","0.68","0.98","0.76","0.90","0.92"
"Fiji","Data source","All types","2.24","1.96","2.00","2.11","1.81","1.90","2.05","2.15","2.15","2.34","1.95","1.79","1.65","1.81","2.05","2.19","2.24","2.45","2.64","2.73"
"Finland","Data source","All types","8.62","8.60","8.56","8.24","8.31","8.16","8.39","8.88","9.22","9.53","9.42","9.03","8.75","8.51","8.02","8.06","7.94","7.92","8.01","7.94"
"France","Data source","All types","13.15","13.27","13.31","13.77","14.12","14.11","14.24","14.72","14.85","15.73","16.05","15.86","15.90","16.13","16.59","16.89","17.72","18.25","18.33","18.97"
"Gabon","Data source","All types","8.93","8.67","9.41","8.70","9.35","7.26","8.39","8.75","10.44","9.48","9.34","12.28","11.40","13.73","14.75","15.14","14.67","14.44","11.88","11.89"
"Gambia","Data source","All types","2.17","1.88","1.58","1.44","1.38","1.56","1.43","1.72","1.45","1.66","1.64","1.80","1.96","2.19","1.67","1.27","1.56","1.47","0.94","0.72"
"Georgia","Data source","All types","2.06","2.09","2.62","3.50","3.35","5.39","6.51","6.76","3.17","4.84","","","","","","","","","",""
"Germany","Data source","All types","12.94","12.74","13.00","13.12","13.35","13.37","13.50","13.84","13.92","14.89","14.64","14.61","14.82","14.72","15.14","15.14","15.75","15.69","16.01","16.45"
"Ghana","Data source","All types","1.64","1.72","1.65","1.87","1.94","1.86","1.82","1.57","1.46","1.30","1.49","1.55","1.71","1.35","1.46","1.61","1.47","1.51","1.64","1.63"
"Greece","Data source","All types","9.47","9.03","9.50","9.67","10.09","10.43","10.67","9.99","10.18","10.33","10.15","10.10","9.82","8.92","10.88","11.59","11.78","11.01","12.04","13.21"
"Grenada","Data source","All types","10.08","10.10","9.39","7.80","6.75","7.72","7.31","7.20","6.75","7.31","","","","","","","","","",""
"Guatemala","Data source","All types","1.32","1.65","1.95","2.19","2.09","1.68","2.05","2.40","2.31","3.00","2.47","3.04","2.77","2.58","3.03","3.02","2.82","2.91","2.73","2.49"
"Guinea","Data source","All types","0.33","0.39","0.24","0.32","0.57","0.41","0.40","0.37","0.27","0.17","0.21","0.19","0.18","0.15","0.06","0.05","0.05","0.05","0.05","0.06"
"Guinea-Bissau","Data source","All types","2.16","2.06","2.31","2.78","2.96","3.00","3.12","2.79","3.05","2.88","2.67","0.00","2.46","2.44","2.84","3.11","3.16","3.55","3.19","2.53"
"Guyana","Data source","All types","7.17","7.82","6.54","8.55","8.54","8.86","9.39","9.30","8.58","8.08","9.94","10.35","7.60","6.06","5.89","4.06","5.17","6.06","6.21","5.02"
"Haiti","Data source","All types","5.73","5.87","6.00","6.15","5.42","4.60","4.72","4.80","5.53","6.12","5.80","5.66","5.11","5.74","6.41","4.45","5.26","6.72","6.45","6.45"
"Honduras","Data source","All types","2.60","2.57","2.70","2.43","2.55","2.27","2.59","2.42","2.48","2.47","2.15","2.25","2.01","2.04","1.90","2.18","2.19","2.30","2.58","2.67"
"Hungary","Data source","All types","12.09","12.69","12.51","12.55","12.56","13.71","14.16","14.82","15.43","16.15","16.29","15.34","15.70","16.67","16.74","16.82","16.39","16.82","16.73","16.88"
"Iceland","Data source","All types","5.90","5.56","5.10","4.90","4.76","4.61","4.45","4.73","5.14","5.24","5.35","5.47","5.64","5.47","5.34","5.37","5.11","4.92","5.05","4.97"
"India","Data source","All types","1.73","1.43","1.54","1.91","1.83","1.71","1.76","1.59","1.84","1.71","1.66","1.55","1.49","1.32","1.26","1.15","1.17","1.17","1.10","1.06"
"Indonesia","Data source","All types","0.09","0.09","0.10","0.11","0.11","0.06","0.08","0.06","0.06","0.07","0.06","0.07","0.07","0.07","0.06","0.06","0.08","0.10","0.09","0.08"
"Iran (Islamic Republic of)","Data source","All types","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iraq","Data source","All types","0.21","0.22","0.23","0.26","0.34","0.33","0.39","0.27","0.24","0.48","0.75","0.67","0.66","0.76","0.66","0.90","0.68","0.80","0.69","0.73"
"Ireland","Data source","All types","14.95","14.44","14.18","13.66","12.86","12.67","12.34","12.51","12.20","12.13","11.79","11.39","10.99","11.23","11.62","11.07","10.87","11.90","12.51","13.19"
"Israel","Data source","All types","2.00","2.09","2.03","1.62","1.50","1.72","2.18","1.81","1.73","1.84","2.03","2.18","2.26","2.26","2.69","2.65","2.80","2.65","2.80","2.92"
"Italy","Data source","All types","8.86","8.98","9.12","9.13","9.62","10.12","10.27","10.55","10.82","10.99","10.95","11.41","11.76","12.37","13.22","14.08","14.55","14.50","15.07","16.73"
"Jamaica","Data source","All types","2.72","2.74","2.86","2.92","2.87","2.98","3.43","4.47","4.83","3.54","3.06","3.12","3.12","2.78","2.68","3.21","4.20","3.99","3.99","4.57"
"Japan","Data source","All types","8.17","8.10","8.15","8.06","8.16","8.29","8.37","8.09","8.03","8.28","7.74","8.17","7.69","7.21","6.98","7.11","7.12","6.88","6.77","6.63"
"Jordan","Data source","All types","0.15","0.15","0.17","0.16","0.15","0.15","0.15","0.11","0.14","0.20","0.18","0.28","0.30","0.30","0.24","0.37","0.54","0.39","0.33","0.44"
"Kazakhstan","Data source","All types","3.52","3.89","3.40","3.08","4.91","8.78","10.43","10.96","12.77","11.90","","","","","","","","","",""
"Kenya","Data source","All types","1.65","1.72","1.91","1.82","2.13","1.90","2.04","2.57","2.55","2.91","2.83","2.90","2.78","2.76","2.80","2.47","2.40","2.62","3.26","3.90"
"Kiribati","Data source","All types","0.73","0.77","0.62","0.69","0.71","0.54","0.58","0.58","0.63","0.44","0.48","0.50","0.63","0.58","0.52","0.57","0.67","0.81","0.95","1.17"
"Kuwait","Data source","All types","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
